City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,Lavrentiya,65.5833,-171.0,7.23,96,100,4.85,RU,2023-01-12 15:29:35
164,Jalu,29.0331,21.5482,64.27,38,11,9.95,LY,2023-01-12 15:29:35
165,Norman Wells,65.282,-126.8329,-0.36,78,100,2.3,CA,2023-01-12 15:29:35
166,Emerald,-23.5333,148.1667,69.89,80,100,5.64,AU,2023-01-12 15:25:39
167,East London,-33.0153,27.9116,77.94,88,75,10.36,ZA,2023-01-12 15:29:36
168,Aswan,24.0934,32.907,67.39,21,0,8.7,EG,2023-01-12 15:29:36
169,Georgetown,5.4112,100.3354,80.53,92,20,3.44,MY,2023-01-12 15:27:03
170,Kloulklubed,7.0419,134.2556,73.9,81,100,7.36,PW,2023-01-12 15:29:37
171,Madison,34.7334,-86.5667,62.1,93,100,23.0,US,2023-01-12 15:25:39
172,Mandan,46.8267,-100.8896,-7.73,100,32,2.8,US,2023-01-12 15:29:38
173,Jasper,37.2001,-94.3502,32.05,85,100,17.27,US,2023-01-12 15:24:49
174,Zhanakorgan,43.9098,67.2495,13.44,43,0,7.9,KZ,2023-01-12 15:29:39
175,Puerto Escondido,15.85,-97.0667,77.83,88,0,4.61,MX,2023-01-12 15:29:39
176,Yar-Sale,66.8333,70.8333,-22.22,100,99,4.7,RU,2023-01-12 15:29:39
177,San Patricio,28.017,-97.5169,68.92,29,12,16.93,US,2023-01-12 15:29:40
178,Severnoye,56.3491,78.3619,2.59,94,100,13.4,RU,2023-01-12 15:29:40
179,Kodiak,57.79,-152.4072,33.31,93,100,3.44,US,2023-01-12 15:29:40
180,Kandrian,-6.2167,149.55,77.92,89,99,8.3,PG,2023-01-12 15:29:40
181,Sakakah,29.9697,40.2064,58.57,57,0,8.88,SA,2023-01-12 15:29:41
182,Wanning,18.8003,110.3967,73.09,91,85,6.17,CN,2023-01-12 15:30:41
183,Sorgun,39.8101,35.186,38.26,54,100,3.24,TR,2023-01-12 15:30:41
184,Sal Rei,16.1833,-22.9167,75.4,64,0,21.85,CV,2023-01-12 15:30:42
185,Chokurdakh,70.6333,147.9167,-32.84,97,100,6.44,RU,2023-01-12 15:30:43
186,Arraial Do Cabo,-22.9661,-42.0278,87.76,74,0,6.91,BR,2023-01-12 15:30:43
187,Laguna,38.421,-121.4238,56.08,83,0,4.61,US,2023-01-12 15:30:43
188,Coahuayana,18.7333,-103.6833,82.87,37,0,1.07,MX,2023-01-12 15:30:44
189,Nalut,30.3333,10.85,59.72,33,41,6.62,LY,2023-01-12 15:30:44
190,Ahipara,-35.1667,173.1667,60.91,90,29,3.4,NZ,2023-01-12 15:30:44
191,Tamandare,-8.7597,-35.1047,85.19,56,12,9.06,BR,2023-01-12 15:30:44
192,Madang,-5.2246,145.7966,75.25,91,99,5.37,PG,2023-01-12 15:30:45
193,Barabinsk,55.3571,78.357,4.39,93,100,15.5,RU,2023-01-12 15:30:45
194,Predivinsk,57.0669,93.4378,-15.3,90,85,6.17,RU,2023-01-12 15:30:45
195,Pisco,-13.7,-76.2167,73.02,88,40,8.05,PE,2023-01-12 15:30:46
196,Altay,47.8667,88.1167,-17.91,67,0,6.38,CN,2023-01-12 15:30:46
